ID,Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_SO2,Total_SO2,Density,pH,Sulphates,Alcohol,Quality
4204,6.2,0.3,0.32,Low,0.054,27.0,183.0,0.99-1.00,Acidic,0.43,10%,5
4205,6.9,0.26,0.39,Moderate,0.044,33.0,139.0,0.99-1.00,Acidic,0.5,10%,6
4206,6.7,0.41,0.27,Low,0.033,25.0,85.0,,Acidic,0.34,11%,6
4207,5.9,0.32,0.2,High,0.05,29.0,144.0,0.99-1.00,Acidic,0.41,10%,6
4208,6.1,0.25,0.3,Low,0.036,42.0,107.0,0.99-1.00,Acidic,0.56,10%,7
4209,5.6,0.23,0.29,Low,0.023,19.0,89.0,0.99-1.00,Acidic,0.51,11%,6
4210,6.6,0.23,0.32,Low,0.024,26.0,102.0,,Acidic,0.6,11%,6
4211,6.0,0.17,0.21,Low,0.05,26.0,134.0,0.99-1.00,Acidic,0.54,9%,6
4212,7.1,0.38,0.42,Moderate,0.041,32.0,193.0,0.99-1.00,Acidic,0.49,10%,6
4213,,0.31,0.37,Low,0.052,13.0,164.0,0.99-1.00,Acidic,0.39,8%,4
4214,6.5,0.38,0.53,Low,0.142,5.0,69.0,0.99-1.00,Acidic,0.52,10%,4
4215,7.0,0.44,0.24,Moderate,0.056,68.0,210.0,0.99-1.00,Acidic,0.5,9%,5
4216,7.0,0.44,0.23,Moderate,0.056,68.0,210.0,0.99-1.00,Acidic,0.5,9%,5
4217,7.0,0.44,0.24,Moderate,0.056,68.0,210.0,0.99-1.00,Acidic,0.5,9%,5
4218,6.1,0.38,0.14,Low,0.06,27.0,113.0,,Acidic,0.34,9%,4
4219,8.0,0.33,0.32,Low,0.041,31.0,180.0,0.99-1.00,Highly Acidic,0.74,12%,6
4220,7.0,0.44,0.24,Moderate,0.056,68.0,210.0,0.99-1.00,Acidic,0.5,9%,5
4221,6.0,0.19,0.29,Low,0.046,29.0,92.0,0.99-1.00,Acidic,0.53,11%,6
4222,6.3,0.28,0.34,Moderate,0.038,44.0,129.0,0.99-1.00,Acidic,0.29,12%,6
4223,6.1,0.38,0.14,Low,0.06,27.0,113.0,0.99-1.00,Acidic,0.34,9%,4
4224,5.3,0.43,0.11,Low,0.029,6.0,51.0,0.99-1.00,Acidic,0.49,11%,4
4225,5.4,,0.35,Low,0.029,26.0,87.0,0.99-1.00,Acidic,0.44,12%,7
4226,6.2,0.345,0.27,Moderate,0.056,38.0,187.0,0.99-1.00,Acidic,0.56,10%,5
4227,5.6,0.255,0.57,Moderate,0.056,66.0,171.0,0.99-1.00,Acidic,0.61,10%,7
4228,5.2,0.2,0.27,Low,0.047,16.0,93.0,0.99-1.00,Acidic,0.53,10%,7
4229,6.2,0.29,0.23,Moderate,0.048,33.0,201.0,0.99-1.00,Acidic,0.56,9%,6
4230,,0.26,0.25,Low,0.046,11.0,133.0,0.99-1.00,Highly Acidic,0.68,11%,6
4231,6.0,0.22,0.23,Low,0.045,10.0,122.0,0.99-1.00,Highly Acidic,0.63,10%,6
4232,7.5,0.35,0.37,Low,0.066,29.0,89.0,<0.99,Acidic,0.42,12%,6
4233,6.6,0.39,0.28,Moderate,0.036,10.0,92.0,0.99-1.00,Acidic,0.35,12%,6
4234,6.3,0.23,0.33,Low,0.052,23.0,118.0,0.99-1.00,Acidic,0.46,10%,6
4235,6.3,0.22,0.3,Low,0.05,23.0,120.0,0.99-1.00,Acidic,0.47,10%,6
4236,6.4,0.29,0.18,High,0.04,21.0,116.0,0.99-1.00,Acidic,0.5,9%,5
4237,6.4,0.29,0.18,High,0.04,21.0,116.0,0.99-1.00,Acidic,0.5,9%,5
4238,7.5,0.23,0.3,Low,0.03,27.0,80.0,0.99-1.00,Acidic,0.68,10%,5
4239,6.4,0.29,0.18,High,0.04,21.0,116.0,0.99-1.00,Acidic,0.5,9%,5
4240,5.7,0.28,0.36,Low,0.041,38.0,90.0,0.99-1.00,Acidic,0.98,11%,7
4241,6.5,0.26,0.24,Moderate,0.042,47.0,130.0,0.99-1.00,Acidic,0.4,10%,6
4242,6.4,0.27,0.29,Low,0.034,62.0,140.0,0.99-1.00,Acidic,0.59,11%,6
4243,5.9,0.21,0.29,Low,0.037,69.0,144.0,0.99-1.00,Acidic,0.74,10%,7
4244,6.8,0.26,0.26,Low,0.019,23.5,72.0,0.99-1.00,Acidic,0.47,11%,6
4245,7.6,0.36,0.48,High,0.038,44.0,116.0,0.99-1.00,Acidic,0.48,9%,5
4246,7.6,0.35,0.47,High,0.037,42.0,116.0,0.99-1.00,Acidic,0.5,9%,5
4247,5.7,0.18,0.26,Low,0.023,21.0,95.0,<0.99,Acidic,0.54,12%,6
4248,6.6,0.36,0.47,Low,0.145,26.0,124.0,0.99-1.00,Neutral,0.56,10%,6
4249,5.9,0.14,0.2,Low,0.04,26.0,114.0,0.99-1.00,Acidic,0.45,11%,6
4250,5.5,0.23,0.19,Low,0.044,39.0,161.0,0.99-1.00,Acidic,0.43,10%,6
4251,6.7,0.11,0.26,High,0.053,44.0,95.0,0.99-1.00,Acidic,0.35,9%,6
4252,7.0,0.24,0.24,Low,0.047,29.0,91.0,0.99-1.00,Acidic,0.43,9%,6
4253,6.7,0.11,0.26,High,0.053,44.0,95.0,0.99-1.00,Acidic,0.35,9%,6
4254,5.3,0.47,0.1,Low,0.036,11.0,74.0,0.99-1.00,Acidic,0.54,11%,4
4255,7.5,0.29,0.24,Moderate,0.058,25.0,115.0,0.99-1.00,Acidic,0.46,10%,5
4256,6.0,0.33,0.26,Low,0.051,16.0,119.0,0.99-1.00,Acidic,0.41,9%,5
4257,6.0,0.33,0.26,Low,0.051,16.0,119.0,0.99-1.00,Acidic,0.41,9%,5
4258,5.8,0.32,0.23,Low,0.033,39.0,121.0,<0.99,Highly Acidic,0.35,12%,5
4259,5.8,0.3,0.23,Low,0.034,37.0,121.0,<0.99,Highly Acidic,0.34,12%,6
4260,3.8,0.31,0.02,Moderate,0.036,20.0,114.0,0.99-1.00,Acidic,0.44,12%,6
4261,6.2,0.36,0.22,Low,0.038,44.0,145.0,0.99-1.00,Acidic,0.4,11%,6
4262,6.0,0.31,0.27,Low,0.042,19.0,120.0,<0.99,Acidic,0.41,12%,7
4263,6.9,0.52,0.54,Moderate,0.036,23.0,169.0,0.99-1.00,Acidic,0.47,12%,6
4264,7.0,0.55,0.05,Moderate,0.036,19.0,164.0,0.99-1.00,Acidic,0.46,12%,6
4265,5.8,0.2,0.16,Low,0.042,44.0,99.0,<0.99,Acidic,0.37,12%,6
4266,6.2,0.36,0.22,Low,0.038,44.0,145.0,0.99-1.00,Acidic,0.4,11%,6
4267,6.0,0.31,0.27,Low,0.042,19.0,120.0,<0.99,Acidic,0.41,12%,7
4268,6.0,0.29,0.27,Low,0.044,20.0,117.0,<0.99,Acidic,0.41,12%,7
4269,5.7,0.22,0.29,Low,0.04,27.0,146.0,,Acidic,0.36,12%,6
4270,7.1,0.46,0.23,High,0.045,44.0,192.0,0.99-1.00,Acidic,0.53,9%,5
4271,6.6,0.21,0.3,Moderate,0.041,64.0,174.0,0.99-1.00,Acidic,0.5,10%,6
4272,6.9,0.42,0.2,High,0.043,57.0,201.0,0.99-1.00,Acidic,0.54,9%,5
4273,5.7,0.22,0.2,High,0.044,41.0,113.0,0.99-1.00,Acidic,0.46,8%,6
4274,5.7,0.22,0.2,High,0.044,41.0,113.0,0.99-1.00,Acidic,0.46,8%,6
4275,,0.22,0.2,High,0.044,41.0,113.0,,Acidic,0.46,8%,6
4276,5.7,0.22,0.2,High,0.044,41.0,113.0,0.99-1.00,Acidic,0.46,8%,6
4277,5.2,0.31,0.2,Low,0.027,27.0,117.0,<0.99,Acidic,0.43,13%,7
4278,7.2,0.22,0.35,Low,0.054,37.0,183.0,,Acidic,0.5,10%,5
4279,5.6,0.18,0.29,Low,0.04,5.0,47.0,0.99-1.00,Acidic,0.45,10%,4
4280,6.2,0.24,0.27,High,0.04,48.0,129.0,0.99-1.00,Neutral,0.38,10%,6
4281,5.7,0.22,0.2,High,0.044,41.0,113.0,0.99-1.00,Acidic,0.46,8%,6
4282,5.7,0.26,0.24,High,0.059,23.0,124.0,0.99-1.00,Acidic,0.5,10%,5
4283,5.7,0.26,0.24,High,0.059,23.0,124.0,0.99-1.00,Acidic,0.5,10%,5
4284,6.0,0.2,0.26,Low,0.049,22.0,93.0,0.99-1.00,Acidic,0.42,11%,6
4285,6.0,0.2,0.26,Low,0.049,22.0,93.0,0.99-1.00,Acidic,0.42,11%,6
4286,6.0,0.2,0.26,Low,0.049,22.0,93.0,0.99-1.00,Acidic,0.42,11%,6
4287,6.0,0.2,0.26,Low,0.049,22.0,93.0,0.99-1.00,Acidic,0.42,11%,6
4288,7.6,0.28,0.17,Low,0.046,28.0,117.0,0.99-1.00,Acidic,0.43,10%,5
4289,7.0,0.2,0.33,Low,0.03,25.0,76.0,0.99-1.00,Highly Acidic,0.54,10%,6
4290,6.6,0.26,0.27,Moderate,0.048,28.0,112.0,0.99-1.00,Highly Acidic,0.49,9%,6
4291,5.7,0.26,0.24,High,0.059,23.0,124.0,0.99-1.00,Acidic,0.5,10%,5
4292,7.2,0.21,0.36,High,0.045,68.0,183.0,0.99-1.00,Acidic,0.76,9%,5
4293,6.9,0.22,0.32,Low,0.041,20.0,119.0,0.99-1.00,Acidic,0.55,11%,6
4294,7.2,0.21,0.36,High,0.045,68.0,183.0,0.99-1.00,Acidic,0.73,9%,5
4295,7.4,0.22,0.28,Moderate,0.046,22.0,121.0,0.99-1.00,Acidic,0.55,10%,5
4296,7.2,0.21,0.35,High,0.045,68.0,183.0,0.99-1.00,Acidic,0.76,9%,5
4297,6.9,0.22,0.32,Low,0.041,20.0,119.0,0.99-1.00,Acidic,0.55,11%,6
4298,7.0,0.2,0.35,Moderate,0.037,31.0,103.0,0.99-1.00,Acidic,0.49,11%,6
4299,5.6,0.26,0.0,Moderate,0.038,13.0,111.0,0.99-1.00,Acidic,0.46,12%,6
4300,6.3,0.28,0.3,Low,0.208,60.0,154.0,0.99-1.00,Acidic,0.4,9%,6
4301,6.4,0.29,0.3,Low,0.209,62.0,156.0,0.99-1.00,Acidic,0.4,9%,5
4302,,0.34,0.23,Moderate,0.105,22.0,155.0,0.99-1.00,Acidic,0.58,9%,5
4303,7.1,0.39,0.39,Moderate,0.034,25.0,204.0,0.99-1.00,Acidic,0.52,10%,6
4304,6.9,0.26,0.29,Low,0.043,33.0,114.0,0.99-1.00,Acidic,0.31,12%,6
4305,6.1,0.24,0.25,Low,0.044,24.0,115.0,0.99-1.00,Acidic,0.59,10%,6
4306,5.9,0.25,0.24,Moderate,0.044,21.0,113.0,0.99-1.00,Acidic,0.58,10%,6
4307,6.1,0.24,0.27,Moderate,0.05,51.0,133.0,0.99-1.00,Acidic,0.37,10%,6
4308,,0.22,0.27,Low,0.039,36.0,116.0,0.99-1.00,Acidic,0.57,11%,7
4309,6.2,0.26,0.29,Low,0.036,16.0,87.0,0.99-1.00,Acidic,0.61,11%,6
4310,6.6,0.34,0.25,Low,0.038,16.0,121.0,0.99-1.00,Acidic,0.71,12%,6
4311,5.6,0.225,0.24,Moderate,0.054,59.0,140.0,0.99-1.00,Acidic,0.39,10%,6
4312,7.1,0.23,0.28,Low,0.046,33.0,103.0,<0.99,Acidic,0.31,12%,5
4313,6.9,0.26,0.29,Low,0.043,33.0,114.0,0.99-1.00,Acidic,0.31,12%,6
4314,6.4,0.27,0.3,Low,0.04,19.0,86.0,,Acidic,0.65,11%,6
4315,6.3,0.41,0.22,Moderate,0.035,23.0,117.0,,Acidic,0.39,11%,7
4316,6.7,0.41,0.24,Low,0.035,33.0,115.0,0.99-1.00,Acidic,0.44,12%,7
4317,7.2,0.585,0.2,Moderate,0.086,17.0,94.0,0.99-1.00,Acidic,0.4,9%,5
4318,6.7,0.34,0.26,Low,0.038,58.0,138.0,<0.99,Acidic,0.47,12%,7
4319,6.3,0.41,0.21,Moderate,0.035,23.0,117.0,0.99-1.00,Acidic,0.39,11%,7
4320,6.7,0.41,0.24,Low,0.035,33.0,115.0,0.99-1.00,Acidic,0.44,12%,7
4321,6.4,0.26,0.35,Moderate,0.056,45.0,191.0,0.99-1.00,Acidic,0.5,9%,5
4322,6.3,0.28,0.22,Moderate,0.036,27.0,150.0,0.99-1.00,Acidic,0.33,10%,6
4323,,0.16,0.33,Low,0.042,47.0,121.0,0.99-1.00,Acidic,0.68,10%,7
4324,8.4,0.27,0.3,Low,0.037,36.0,129.0,0.99-1.00,Highly Acidic,0.3,11%,6
4325,5.9,0.2,0.28,Low,0.043,45.0,100.0,0.99-1.00,Acidic,0.41,11%,6
4326,6.4,0.24,0.26,Moderate,0.054,47.0,182.0,0.99-1.00,Acidic,0.5,9%,5
4327,7.4,0.38,0.34,Moderate,0.052,44.0,168.0,0.99-1.00,Acidic,0.52,9%,5
4328,6.4,0.24,0.26,Moderate,0.054,47.0,182.0,0.99-1.00,Acidic,0.5,9%,5
4329,6.4,0.42,0.19,Moderate,0.043,28.0,145.0,0.99-1.00,Acidic,0.53,10%,5
4330,6.4,0.23,0.26,Moderate,0.054,47.0,181.0,0.99-1.00,Acidic,0.49,9%,5
4331,6.4,0.24,0.26,Moderate,0.054,47.0,182.0,0.99-1.00,Acidic,0.5,9%,5
4332,7.4,0.38,0.34,Moderate,0.052,44.0,168.0,0.99-1.00,Acidic,0.52,9%,5
4333,7.3,0.19,0.28,High,0.057,45.0,155.0,0.99-1.00,Highly Acidic,0.41,8%,8
4334,7.3,0.19,0.27,High,0.057,45.0,155.0,0.99-1.00,Highly Acidic,0.41,8%,8
4335,7.3,0.19,0.27,High,0.057,45.0,155.0,0.99-1.00,Highly Acidic,0.41,8%,8
4336,7.3,0.19,0.27,High,0.057,45.0,155.0,0.99-1.00,Highly Acidic,0.41,8%,8
4337,7.3,0.19,0.27,High,0.057,45.0,155.0,0.99-1.00,Highly Acidic,0.41,8%,8
4338,7.3,0.19,0.27,High,0.057,45.0,155.0,0.99-1.00,Highly Acidic,0.41,8%,8
4339,,0.19,0.27,High,0.057,45.0,155.0,0.99-1.00,Highly Acidic,0.41,8%,8
4340,6.8,0.24,0.29,Low,0.044,15.0,96.0,0.99-1.00,Acidic,0.64,10%,8
4341,7.3,0.19,0.27,High,0.057,45.0,155.0,0.99-1.00,Highly Acidic,0.41,8%,8
4342,7.4,0.27,0.52,High,0.054,36.0,139.0,0.99-1.00,Acidic,0.62,10%,6
4343,5.7,0.28,0.35,Low,0.052,39.0,141.0,0.99-1.00,Acidic,0.69,11%,6
4344,5.8,0.22,0.25,Low,0.024,21.0,109.0,0.99-1.00,Acidic,0.58,10%,6
4345,6.7,0.27,0.69,Low,0.176,36.0,106.0,0.99-1.00,Highly Acidic,0.43,9%,6
4346,7.1,0.2,0.35,Low,0.034,21.0,107.0,0.99-1.00,Acidic,0.54,11%,6
4347,6.7,0.27,0.68,Low,0.176,36.0,106.0,0.99-1.00,Highly Acidic,0.43,9%,6
4348,7.1,0.23,0.3,Low,0.034,62.0,148.0,0.99-1.00,Acidic,0.56,11%,7
4349,7.6,0.31,0.52,High,0.042,61.0,148.0,0.99-1.00,Highly Acidic,0.47,9%,6
4350,7.2,0.34,0.28,Moderate,0.108,43.0,187.0,0.99-1.00,Highly Acidic,0.57,9%,5
4351,7.0,0.36,0.25,Low,0.015,14.0,13.0,,Highly Acidic,0.59,13%,6
4352,6.4,0.31,0.28,Low,0.039,34.0,137.0,<0.99,Acidic,0.38,12%,6
4353,7.3,0.28,0.35,Low,0.054,31.0,148.0,0.99-1.00,Acidic,0.47,10%,5
4354,7.4,0.16,0.3,Low,0.064,34.0,166.0,0.99-1.00,Acidic,0.42,11%,6
4355,6.4,0.31,0.27,Moderate,0.049,48.0,169.0,0.99-1.00,Acidic,0.45,11%,6
4356,6.4,0.31,0.28,Low,0.039,34.0,137.0,<0.99,Acidic,0.38,12%,6
4357,6.2,0.29,0.29,Low,0.046,35.0,178.0,0.99-1.00,Acidic,0.51,10%,5
4358,5.9,0.28,0.34,Low,0.04,50.0,194.0,0.99-1.00,Acidic,0.52,11%,6
4359,6.5,0.23,0.2,Moderate,0.05,44.0,179.0,0.99-1.00,Acidic,0.48,9%,5
4360,7.2,0.34,0.2,Low,0.062,52.0,203.0,0.99-1.00,Acidic,0.44,9%,6
4361,7.3,0.28,0.35,Low,0.054,31.0,148.0,0.99-1.00,Acidic,0.47,10%,5
4362,6.5,0.2,0.33,Low,0.039,36.0,110.0,,Acidic,0.65,12%,6
4363,6.2,0.24,0.27,Low,0.039,30.0,123.0,<0.99,Acidic,0.37,12%,6
4364,7.1,0.31,0.25,Moderate,0.048,32.0,136.0,0.99-1.00,Acidic,0.4,9%,5
4365,6.4,0.29,0.21,Moderate,0.041,36.0,119.0,0.99-1.00,Highly Acidic,0.34,10%,6
4366,6.3,0.19,0.33,Moderate,0.063,63.0,133.0,0.99-1.00,Highly Acidic,0.41,9%,5
4367,5.9,0.29,0.28,Low,0.035,16.0,117.0,<0.99,Acidic,0.42,12%,6
4368,7.1,0.31,0.25,Moderate,0.048,32.0,136.0,0.99-1.00,Acidic,0.4,9%,5
4369,6.5,0.3,0.28,Moderate,0.041,29.0,109.0,,Highly Acidic,0.3,10%,6
4370,,0.29,0.21,Moderate,0.041,36.0,119.0,0.99-1.00,Highly Acidic,0.34,10%,6
4371,6.5,0.22,0.19,Low,0.096,16.0,115.0,0.99-1.00,Acidic,0.44,9%,5
4372,7.0,0.23,0.28,Low,0.053,16.0,92.0,0.99-1.00,Acidic,0.56,9%,5
4373,7.1,0.23,0.23,Low,0.038,23.0,112.0,0.99-1.00,Acidic,0.37,11%,6
4374,6.1,0.26,0.28,Low,0.043,24.0,98.0,<0.99,Acidic,0.44,12%,6
4375,6.4,0.35,0.21,Low,0.051,46.0,171.0,0.99-1.00,Acidic,0.5,9%,5
4376,6.0,0.32,0.32,Low,0.041,40.0,186.0,0.99-1.00,Acidic,0.54,11%,6
4377,6.1,0.34,0.21,Low,0.042,17.0,133.0,0.99-1.00,Acidic,0.53,9%,5
4378,6.5,0.13,0.27,Low,0.035,32.0,76.0,0.99-1.00,Acidic,0.76,11%,6
4379,6.5,0.315,0.2,Low,0.041,9.0,126.0,0.99-1.00,Highly Acidic,0.51,8%,5
4380,6.1,0.34,0.21,Low,0.042,17.0,133.0,0.99-1.00,Acidic,0.53,9%,5
4381,5.7,0.31,0.29,Moderate,0.05,33.0,143.0,0.99-1.00,Acidic,0.5,11%,6
4382,,0.3,0.27,Low,0.058,27.0,151.0,0.99-1.00,Acidic,0.49,12%,6
4383,7.0,0.24,0.26,Low,0.041,31.0,110.0,0.99-1.00,Acidic,0.53,11%,6
4384,6.5,0.13,0.27,Low,0.035,32.0,76.0,0.99-1.00,Acidic,0.76,11%,6
4385,6.4,0.26,0.21,Moderate,0.05,51.0,182.0,0.99-1.00,Acidic,0.48,9%,5
4386,6.4,0.26,0.21,Moderate,0.05,51.0,182.0,0.99-1.00,Acidic,0.48,9%,5
4387,6.0,0.27,0.31,Low,0.043,54.0,170.0,0.99-1.00,Acidic,0.52,11%,6
4388,7.1,0.21,0.33,Low,0.039,34.0,97.0,0.99-1.00,Acidic,0.75,11%,6
4389,6.7,0.26,0.29,Moderate,0.036,28.0,100.0,0.99-1.00,Acidic,0.36,9%,6
4390,6.3,0.28,0.22,Moderate,0.04,30.0,111.0,0.99-1.00,Acidic,0.31,10%,4
4391,6.2,0.25,0.44,High,0.057,39.0,167.0,0.99-1.00,Acidic,0.51,9%,5
4392,7.3,,0.37,High,0.048,70.0,203.0,0.99-1.00,Acidic,0.77,9%,5
4393,6.2,0.25,0.44,High,0.057,39.0,167.0,0.99-1.00,Acidic,0.51,9%,5
4394,6.4,0.18,0.28,High,0.047,53.0,139.0,0.99-1.00,Acidic,0.35,10%,6
4395,6.3,0.2,0.26,Moderate,0.046,60.0,143.0,0.99-1.00,Acidic,0.35,10%,6
4396,6.6,0.24,0.22,Moderate,0.051,35.0,146.0,0.99-1.00,Acidic,0.67,9%,5
4397,7.4,0.27,0.26,Moderate,0.053,55.0,173.0,0.99-1.00,Acidic,0.6,9%,5
4398,7.4,0.27,0.26,Moderate,0.053,55.0,173.0,0.99-1.00,Acidic,0.6,9%,5
4399,7.4,0.27,0.26,Moderate,0.053,55.0,173.0,0.99-1.00,Acidic,0.6,9%,5
4400,6.6,0.24,0.22,Moderate,0.051,35.0,146.0,0.99-1.00,Acidic,0.67,9%,5
4401,7.4,0.27,0.26,Moderate,0.053,55.0,173.0,0.99-1.00,Acidic,0.6,9%,5
4402,7.1,0.38,0.29,High,0.041,30.0,137.0,0.99-1.00,Acidic,0.96,12%,6
4403,6.8,0.43,0.26,Low,0.043,40.0,176.0,0.99-1.00,Acidic,0.41,12%,6
4404,5.2,0.22,0.46,Low,0.066,41.0,187.0,0.99-1.00,Acidic,0.42,9%,5
4405,5.9,0.29,0.16,Moderate,0.044,48.0,197.0,0.99-1.00,Acidic,0.36,9%,5
4406,5.9,0.29,0.16,Moderate,0.044,48.0,197.0,0.99-1.00,Acidic,0.36,9%,5
4407,6.3,0.29,0.29,Low,0.037,32.0,140.0,<0.99,Acidic,0.36,12%,7
4408,6.3,,0.32,Low,0.046,18.0,80.0,0.99-1.00,Highly Acidic,0.47,11%,6
4409,5.7,0.29,0.16,Moderate,0.044,48.0,197.0,0.99-1.00,Acidic,0.36,9%,5
4410,6.3,0.29,0.29,Low,0.037,32.0,140.0,<0.99,Acidic,0.36,12%,7
4411,5.7,0.24,0.47,Low,0.069,35.0,182.0,0.99-1.00,Acidic,0.46,9%,5
4412,5.8,0.3,0.38,Low,0.039,22.0,86.0,<0.99,Acidic,0.58,13%,7
4413,7.1,0.27,0.27,Moderate,0.041,26.0,114.0,0.99-1.00,Acidic,0.52,11%,7
4414,5.8,0.3,0.38,Low,0.039,22.0,86.0,<0.99,Acidic,0.58,13%,7
4415,7.1,0.27,0.27,Moderate,0.041,26.0,114.0,0.99-1.00,Acidic,0.52,11%,7
4416,6.3,0.305,0.22,High,0.061,26.0,141.0,0.99-1.00,Acidic,0.5,9%,5
4417,5.7,0.23,0.47,Low,0.069,35.0,182.0,0.99-1.00,Acidic,0.46,9%,5
4418,6.2,0.22,0.28,Low,0.04,24.0,125.0,0.99-1.00,Acidic,0.48,10%,6
4419,6.6,0.22,0.23,High,0.047,37.0,118.0,0.99-1.00,Neutral,0.46,8%,6
4420,6.6,0.22,0.22,High,0.047,37.0,118.0,0.99-1.00,Acidic,0.46,8%,6
4421,6.6,0.22,0.23,High,0.047,37.0,118.0,0.99-1.00,Acidic,0.46,8%,6
4422,6.6,0.22,0.23,High,0.047,37.0,118.0,0.99-1.00,Acidic,0.46,8%,6
4423,6.2,0.22,0.28,Low,0.04,24.0,125.0,0.99-1.00,Acidic,0.48,10%,6
4424,6.2,0.22,0.28,Low,0.04,24.0,125.0,0.99-1.00,Acidic,0.48,10%,6
4425,6.6,0.22,0.22,High,0.047,37.0,118.0,0.99-1.00,Acidic,0.46,8%,6
4426,6.1,0.22,0.5,Low,0.045,30.0,122.0,0.99-1.00,Acidic,0.49,9%,6
4427,6.2,0.21,0.52,Low,0.047,28.0,123.0,0.99-1.00,Acidic,0.49,9%,6
4428,6.3,0.32,0.26,Moderate,0.044,24.0,205.0,0.99-1.00,Acidic,0.58,9%,5
4429,6.9,0.44,0.27,Low,0.038,33.0,166.0,0.99-1.00,Acidic,0.42,12%,6
4430,6.1,0.31,0.34,Low,0.042,59.5,162.0,0.99-1.00,Acidic,0.47,10%,6
4431,8.1,0.36,0.59,High,0.051,60.0,134.0,0.99-1.00,Highly Acidic,0.39,8%,5
4432,6.6,0.38,0.28,Low,0.043,17.0,67.0,,Acidic,0.47,13%,6
4433,6.7,0.24,0.26,Low,0.03,15.0,94.0,0.99-1.00,Acidic,0.38,12%,6
4434,6.9,0.56,0.26,Moderate,0.06,55.0,193.0,0.99-1.00,Acidic,0.44,9%,5
4435,7.2,0.24,0.24,Low,0.045,18.0,161.0,0.99-1.00,Acidic,0.53,11%,6
4436,6.5,0.29,0.3,Moderate,0.051,25.0,166.0,0.99-1.00,Acidic,0.56,11%,6
4437,6.7,0.28,0.28,Low,0.051,14.0,92.0,0.99-1.00,Acidic,0.58,11%,6
4438,6.5,0.29,0.3,Moderate,0.051,25.0,166.0,0.99-1.00,Acidic,0.56,11%,6
4439,6.1,0.21,0.19,Low,0.046,51.0,131.0,,Acidic,0.39,10%,5
4440,7.2,0.47,0.16,Low,0.048,14.0,125.0,0.99-1.00,Acidic,0.49,9%,5
4441,6.7,0.34,0.31,High,0.051,20.0,146.0,0.99-1.00,Acidic,0.54,9%,5
4442,6.6,0.27,0.25,Low,0.033,36.0,111.0,<0.99,Acidic,0.37,12%,6
4443,6.7,0.34,0.31,High,0.051,20.0,146.0,0.99-1.00,Acidic,0.54,9%,5
4444,7.2,0.47,0.16,Low,0.048,14.0,125.0,0.99-1.00,Acidic,0.49,9%,5
4445,5.0,0.35,0.25,Moderate,0.031,24.0,116.0,0.99-1.00,Acidic,0.4,11%,6
4446,5.0,0.35,0.26,Moderate,0.031,24.0,116.0,0.99-1.00,Acidic,0.4,11%,6
4447,4.4,0.46,0.1,Low,0.024,31.0,111.0,<0.99,Acidic,0.34,13%,6
4448,6.6,0.38,0.29,Low,0.035,15.0,101.0,<0.99,Acidic,0.37,12%,6
4449,7.3,0.3,0.25,Low,0.045,32.0,122.0,0.99-1.00,Acidic,0.54,10%,5
4450,6.4,0.29,0.22,Moderate,0.039,51.0,150.0,0.99-1.00,Acidic,0.43,10%,6
4451,6.9,0.29,0.25,Moderate,0.04,29.0,136.0,0.99-1.00,Acidic,0.65,10%,6
4452,6.3,0.3,0.19,Moderate,0.049,47.0,184.0,0.99-1.00,Acidic,0.48,9%,5
4453,6.3,0.39,0.22,Low,0.048,53.0,173.0,0.99-1.00,Acidic,0.45,9%,5
4454,6.6,0.38,0.29,Low,0.035,15.0,101.0,<0.99,Acidic,0.37,12%,6
4455,6.6,0.18,0.26,High,0.051,17.0,149.0,0.99-1.00,Acidic,0.43,9%,6
4456,6.0,0.28,0.29,High,0.051,36.0,174.0,,Acidic,0.5,9%,5
4457,6.0,0.28,0.29,High,0.051,36.0,174.0,0.99-1.00,Acidic,0.5,9%,5
4458,6.0,0.28,0.29,High,0.051,36.0,174.0,0.99-1.00,Acidic,0.5,9%,5
4459,6.6,0.35,0.26,Low,0.045,19.0,129.0,<0.99,Acidic,0.48,13%,7
4460,5.9,0.22,0.18,Low,0.041,28.0,120.0,0.99-1.00,Acidic,0.5,9%,5
4461,6.6,0.18,0.26,High,0.051,17.0,149.0,0.99-1.00,Acidic,0.43,9%,6
4462,7.7,0.28,0.24,Low,0.044,29.0,157.0,0.99-1.00,Acidic,0.56,10%,6
4463,7.1,0.42,0.2,Low,0.038,28.0,109.0,<0.99,Acidic,0.47,13%,6
4464,6.7,0.32,0.32,Low,0.031,31.0,114.0,<0.99,Acidic,0.35,12%,6
4465,6.6,0.26,0.56,High,0.053,32.0,141.0,0.99-1.00,Acidic,0.49,9%,5
4466,6.6,0.26,0.56,High,0.053,32.0,141.0,0.99-1.00,Acidic,0.49,9%,5
4467,6.2,0.32,0.24,Low,0.051,34.0,149.0,0.99-1.00,Acidic,0.52,11%,5
4468,6.3,0.25,0.27,Low,0.054,40.0,158.0,,Acidic,0.48,10%,5
4469,6.2,0.21,0.24,Low,0.051,31.0,95.0,0.99-1.00,Acidic,0.57,11%,6
4470,6.4,0.23,0.27,Low,0.042,35.0,100.0,0.99-1.00,Acidic,0.63,10%,6
4471,4.7,0.151,0.29,Low,0.042,35.0,90.0,0.99-1.00,Acidic,0.49,11%,6
